"","Date","M_Variant_M","M_Variant_L","M_Variant_U","A_Variant_M","A_Variant_L","A_Variant_U","O_Variant_M","O_Variant_L","O_Variant_U","Al_Variant_M","Al_Variant_L","Al_Variant_U"
"202",2020-11-18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"203",2020-11-19,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"204",2020-11-20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"205",2020-11-21,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"206",2020-11-22,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"207",2020-11-23,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"208",2020-11-24,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"209",2020-11-25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"210",2020-11-26,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"211",2020-11-27,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"212",2020-11-28,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"213",2020-11-29,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"214",2020-11-30,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"215",2020-12-01,536.191112074468,394.131471631197,726.485432509086,7396.68764861702,6984.96106165755,7800.80412365211,3547.1104337234,3190.86018457289,3927.08632593231,1443.59145558511,1203.50212755705,1724.52917850142
"216",2020-12-02,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"217",2020-12-03,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"218",2020-12-04,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"219",2020-12-05,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"220",2020-12-06,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"221",2020-12-07,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"222",2020-12-08,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"223",2020-12-09,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"224",2020-12-10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"225",2020-12-11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"226",2020-12-12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"227",2020-12-13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"228",2020-12-14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"229",2020-12-15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"230",2020-12-16,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"231",2020-12-17,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"232",2020-12-18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"233",2020-12-19,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"234",2020-12-20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"235",2020-12-21,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"236",2020-12-22,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"237",2020-12-23,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"238",2020-12-24,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"239",2020-12-25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"240",2020-12-26,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"241",2020-12-27,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"242",2020-12-28,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"243",2020-12-29,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"244",2020-12-30,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"245",2020-12-31,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"246",2021-01-01,156.403654960876,96.4537968628909,252.854686428022,5053.79310092332,4721.6912261752,5393.04287800055,NA,NA,NA,2277.62822536776,2025.19941106017,2553.84432119683
"247",2021-01-02,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"248",2021-01-03,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"249",2021-01-04,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"250",2021-01-05,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"251",2021-01-06,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"252",2021-01-07,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"253",2021-01-08,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"254",2021-01-09,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"255",2021-01-10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"256",2021-01-11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"257",2021-01-12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"258",2021-01-13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"259",2021-01-14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"260",2021-01-15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"261",2021-01-16,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"262",2021-01-17,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"263",2021-01-18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"264",2021-01-19,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"265",2021-01-20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"266",2021-01-21,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"267",2021-01-22,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"268",2021-01-23,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"269",2021-01-24,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"270",2021-01-25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"271",2021-01-26,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"272",2021-01-27,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"273",2021-01-28,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"274",2021-01-29,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"275",2021-01-30,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"276",2021-01-31,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"277",2021-02-01,348.254960277778,281.996828311571,429.535490756237,2914.56234613426,2730.13790419499,3107.49737658642,NA,NA,NA,6347.36124030093,6123.99812820556,6570.52447454494
"278",2021-02-02,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"279",2021-02-03,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"280",2021-02-04,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"281",2021-02-05,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"282",2021-02-06,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"283",2021-02-07,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"284",2021-02-08,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"285",2021-02-09,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"286",2021-02-10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"287",2021-02-11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"288",2021-02-12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"289",2021-02-13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"290",2021-02-14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"291",2021-02-15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"292",2021-02-16,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"293",2021-02-17,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"294",2021-02-18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"295",2021-02-19,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"296",2021-02-20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"297",2021-02-21,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"298",2021-02-22,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"299",2021-02-23,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"300",2021-02-24,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"301",2021-02-25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"302",2021-02-26,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"303",2021-02-27,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"304",2021-02-28,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"305",2021-03-01,202.351683924388,157.049269211785,260.54437984434,1087.21158989883,976.679431135567,1209.42819500668,NA,NA,NA,15491.9077336688,15286.8022510604,15689.0677927629
"306",2021-03-02,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"307",2021-03-03,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"308",2021-03-04,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"309",2021-03-05,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"310",2021-03-06,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"311",2021-03-07,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"312",2021-03-08,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"313",2021-03-09,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"314",2021-03-10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"315",2021-03-11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"316",2021-03-12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
