"","Date","M_Variant_M","M_Variant_L","M_Variant_U","A_Variant_M","A_Variant_L","A_Variant_U","O_Variant_M","O_Variant_L","O_Variant_U","Al_Variant_M","Al_Variant_L","Al_Variant_U"
"294",2021-04-20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"295",2021-04-21,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"296",2021-04-22,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"297",2021-04-23,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"298",2021-04-24,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"299",2021-04-25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"300",2021-04-26,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"301",2021-04-27,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"302",2021-04-28,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"303",2021-04-29,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"304",2021-04-30,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"305",2021-05-01,0,0,9.26538661374223,4.94825719865772,1.35984814209311,17.5533176578574,NA,NA,NA,314.214332114765,289.961188893151,331.938176044816
"306",2021-05-02,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"307",2021-05-03,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"308",2021-05-04,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"309",2021-05-05,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"310",2021-05-06,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"311",2021-05-07,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"312",2021-05-08,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"313",2021-05-09,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"314",2021-05-10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"315",2021-05-11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"316",2021-05-12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"317",2021-05-13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"318",2021-05-14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"319",2021-05-15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"320",2021-05-16,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"321",2021-05-17,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"322",2021-05-18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"323",2021-05-19,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"324",2021-05-20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"325",2021-05-21,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"326",2021-05-22,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"327",2021-05-23,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"328",2021-05-24,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"329",2021-05-25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"330",2021-05-26,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"331",2021-05-27,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"332",2021-05-28,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"333",2021-05-29,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"334",2021-05-30,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"335",2021-05-31,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
